Date,Symbol,Open,High,Low,Volume From,Volume To,Close
2/5/2017,BTCUSD,1032.98,1032.99,998.88,957.83,972422.38,1011.9
2/6/2017,BTCUSD,1011.9,1028.12,1009.9,3594.23,3669393.63,1024.99
2/7/2017,BTCUSD,1024.99,1055,1023.19,3097.4,3241833.55,1055
2/8/2017,BTCUSD,1055,1071.3,1023.58,3190.49,3358745.58,1060.31
2/9/2017,BTCUSD,1060.31,1079.99,948.22,7562.58,7468414.6,984.81
2/10/2017,BTCUSD,984.81,1009.09,955.99,2458.81,2412479.88,1003.97
2/11/2017,BTCUSD,1003.97,1020.43,995.62,827.38,835008.39,1015.18
2/12/2017,BTCUSD,1015.18,1016.55,1004.43,448.89,452863.64,1008.49
2/13/2017,BTCUSD,1008.49,1014.99,990,2683.01,2678810.98,1000.05
2/14/2017,BTCUSD,1000.05,1020.01,994.35,2125.24,2144390.71,1012.65
2/15/2017,BTCUSD,1012.65,1015.57,1006,2614.81,2650538.67,1013.67
2/16/2017,BTCUSD,1013.67,1042.14,1013.54,3525.22,3636909.39,1034.33
2/17/2017,BTCUSD,1034.33,1063.99,1034.33,2965.85,3128329.79,1059.75
2/18/2017,BTCUSD,1059.75,1069.23,1053.84,1652.41,1759408.11,1059.84
2/19/2017,BTCUSD,1059.84,1062.2,1047.35,1204.86,1269774.84,1054.72
2/20/2017,BTCUSD,1054.72,1085.13,1048.05,2586.44,2747077.53,1085.13
2/21/2017,BTCUSD,1085.13,1134.59,1079.67,3831.35,4246258.32,1133.68
2/22/2017,BTCUSD,1133.68,1140,1109.99,4097.34,4619409.23,1128.54
2/23/2017,BTCUSD,1128.54,1193.99,1126.13,4716.48,5457799.51,1181.02
2/24/2017,BTCUSD,1181.02,1213.39,1107.56,8656.16,10200773.8,1183.72
2/25/2017,BTCUSD,1183.72,1186.69,1126.54,2471.08,2854606.79,1148.77
2/26/2017,BTCUSD,1148.77,1185.99,1133.33,2427.77,2827742.58,1182.03
2/27/2017,BTCUSD,1182.03,1201.03,1172.67,3142.83,3737663.34,1194.5
2/28/2017,BTCUSD,1194.5,1214.96,1181.16,5476.53,6550162.06,1195.2
3/1/2017,BTCUSD,1195.2,1230,1190.62,3481.12,4243681.33,1228.9
3/2/2017,BTCUSD,1228.9,1285.1,1215.36,12749.77,16179315.89,1260.21
3/3/2017,BTCUSD,1260.21,1293.35,1258.65,15630.95,20087111.3,1287.98
3/4/2017,BTCUSD,1287.98,1287.99,1241.01,1807.76,2288054.09,1270
3/5/2017,BTCUSD,1270,1275,1245.21,1628.88,2052223.11,1273.99
3/6/2017,BTCUSD,1273.99,1288.98,1273.99,3216.29,4124731.86,1288.88
3/7/2017,BTCUSD,1288.88,1288.89,1188.97,7207.78,9028123.08,1236.29
3/8/2017,BTCUSD,1236.29,1245.99,1150.01,5376.67,6413854.16,1151.39
3/9/2017,BTCUSD,1151.39,1211.82,1135.51,2887.38,3399309.59,1197.2
3/10/2017,BTCUSD,1197.2,1325,980.01,13988.29,16846615.42,1109.29
3/11/2017,BTCUSD,1109.29,1197.72,1109.03,3076.32,3575284.85,1182.64
3/12/2017,BTCUSD,1182.64,1237.68,1176.4,1209.49,1471321.75,1232.63
3/13/2017,BTCUSD,1232.63,1250,1215.98,2507.49,3100333.54,1246.86
3/14/2017,BTCUSD,1246.86,1258.48,1228.86,2235.71,2790544.14,1248.2
3/15/2017,BTCUSD,1248.2,1265,1246,2791.19,3498724.4,1261.75
3/16/2017,BTCUSD,1261.75,1263.11,1131.76,6008.87,7218977.88,1175.29
3/17/2017,BTCUSD,1175.29,1175.29,1065.92,7824.26,8777881.59,1070.6
3/18/2017,BTCUSD,1070.6,1097.68,948.6,5799.2,5877646.98,965.1
3/19/2017,BTCUSD,965.1,1060,965.1,2224.46,2248709.84,1010.63
3/20/2017,BTCUSD,1010.63,1051.32,1010.01,2569.4,2662398.05,1041.61
3/21/2017,BTCUSD,1041.61,1119.4,1041.61,5528.76,6064968.61,1113.81
3/22/2017,BTCUSD,1113.81,1114.33,990.1,6072.34,6292795.67,1037.97
3/23/2017,BTCUSD,1037.97,1052.82,1017.55,3872.77,4022112.9,1033
3/24/2017,BTCUSD,1033,1033.99,925,5517.71,5393455.73,936.83
3/25/2017,BTCUSD,936.83,978.6,892.12,3976.56,3705211.7,966.76
3/26/2017,BTCUSD,966.76,1000,948.33,3442.31,3366712.79,967.14
3/27/2017,BTCUSD,967.14,1046.16,959.88,5114.02,5191542.35,1045.01
3/28/2017,BTCUSD,1045.01,1064.98,1019.02,6806.16,7097106.21,1045.04
3/29/2017,BTCUSD,1045.04,1055.89,1011,5048.64,5237319.77,1041.03
3/30/2017,BTCUSD,1041.03,1049.84,1022.12,5146.84,5327151.27,1041.75
3/31/2017,BTCUSD,1041.75,1090.65,1041.7,5102,5425230.28,1084.22
4/1/2017,BTCUSD,1084.22,1112.43,1073.68,2174.03,2371663.55,1089.99
4/2/2017,BTCUSD,1089.99,1114.15,1081.45,1938.65,2131345.59,1107.45
4/3/2017,BTCUSD,1107.45,1161.46,1107.45,5394.04,6151840.96,1152.94
4/4/2017,BTCUSD,1152.94,1159.67,1126.8,5161.47,5909365.29,1149.03
4/5/2017,BTCUSD,1149.03,1149.03,1115.54,4170.76,4712142.03,1134.73
4/6/2017,BTCUSD,1134.73,1207.8,1134.7,6208.84,7286599.66,1195.77
4/7/2017,BTCUSD,1195.77,1206,1176.37,4176.54,4989277.38,1194.67
4/8/2017,BTCUSD,1194.67,1198,1167,1722.06,2043342.16,1184.5
4/9/2017,BTCUSD,1184.5,1217.49,1180.9,1953.89,2348907.76,1210.08
4/10/2017,BTCUSD,1210.08,1216.99,1202.8,4505.36,5454153.15,1210.64
4/11/2017,BTCUSD,1210.64,1232.62,1200.63,4821.97,5860285.54,1223.76
4/12/2017,BTCUSD,1223.76,1226.5,1210.69,5563.56,6777571.33,1218.12
4/13/2017,BTCUSD,1218.12,1221.48,1153.36,6101.08,7210239.84,1177.88
4/14/2017,BTCUSD,1177.88,1193.08,1170.11,5034.67,5947842.56,1175.5
4/15/2017,BTCUSD,1175.5,1194.54,1170,1784.53,2111074.36,1174.69
4/16/2017,BTCUSD,1174.69,1183.99,1166.51,1184.6,1395055.92,1178.01
4/17/2017,BTCUSD,1178.01,1196.38,1175.06,3824.79,4531180.28,1193.81
4/18/2017,BTCUSD,1193.81,1209.27,1193.81,5232.31,6280213.6,1204
4/19/2017,BTCUSD,1204,1211.45,1189.18,5957.42,7156869.26,1211.45
4/20/2017,BTCUSD,1211.45,1244.73,1210.6,5817.59,7140008.98,1238.45
