Symbol,Date,Open,High,Low,Close,Volume
ENGRO,17-Aug-2009,137.05,137.89,134.00,134.62,1133286
ENGRO,18-Aug-2009,134.95,136.35,133.60,134.00,674765
ENGRO,19-Aug-2009,134.49,135.60,132.90,133.28,1125065
ENGRO,20-Aug-2009,133.35,134.60,132.80,133.43,458607
ENGRO,21-Aug-2009,133.43,135.98,133.43,135.60,1098661
ENGRO,24-Aug-2009,136.00,140.90,136.00,140.22,2510150
ENGRO,25-Aug-2009,141.20,142.15,137.90,138.45,2014697
ENGRO,26-Aug-2009,138.44,139.75,137.80,139.20,515384
ENGRO,27-Aug-2009,139.65,140.90,139.10,139.43,867952
ENGRO,28-Aug-2009,139.51,146.00,139.30,145.26,3679782
ENGRO,31-Aug-2009,145.10,148.00,143.80,145.13,3001767
ENGRO,01-Sep-2009,144.10,149.00,142.40,146.76,4305042
ENGRO,02-Sep-2009,148.00,154.09,148.00,154.09,5294304
ENGRO,03-Sep-2009,157.49,161.40,153.60,158.68,9263886
ENGRO,04-Sep-2009,157.99,161.75,155.25,159.00,7438644
ENGRO,07-Sep-2009,159.45,160.90,151.80,153.51,2792897
ENGRO,08-Sep-2009,152.99,153.50,145.87,146.11,3240226
ENGRO,09-Sep-2009,146.99,152.00,146.80,150.61,3595917
ENGRO,10-Sep-2009,151.00,155.99,148.00,153.71,5831060
ENGRO,11-Sep-2009,154.14,157.70,154.13,155.66,2634876
ENGRO,14-Sep-2009,156.30,156.75,152.50,153.43,715195
ENGRO,15-Sep-2009,153.01,156.31,152.01,155.22,3012115
ENGRO,16-Sep-2009,155.60,161.22,155.60,159.22,5102855
ENGRO,17-Sep-2009,162.00,167.18,162.00,167.18,6291992
ENGRO,18-Sep-2009,167.18,171.90,165.20,170.70,7227914
ENGRO,24-Sep-2009,172.75,179.23,172.01,178.10,10750112
ENGRO,25-Sep-2009,181.55,186.99,178.20,185.51,14494759
ENGRO,28-Sep-2009,186.90,186.90,176.24,177.85,5842248
ENGRO,29-Sep-2009,176.20,183.75,175.31,181.25,9128505
ENGRO,30-Sep-2009,183.20,184.10,177.60,180.86,5198382
ENGRO,01-Oct-2009,182.00,184.80,178.15,180.20,4215342
ENGRO,02-Oct-2009,179.00,184.54,178.00,183.60,4596942
ENGRO,05-Oct-2009,184.20,185.75,181.00,181.70,3101975
ENGRO,06-Oct-2009,181.70,182.95,180.10,180.69,1376525
ENGRO,07-Oct-2009,181.25,183.90,175.05,178.48,9085866
ENGRO,08-Oct-2009,179.50,179.70,170.60,174.33,5395145
ENGRO,09-Oct-2009,175.02,176.45,172.00,173.04,1078951
ENGRO,12-Oct-2009,172.89,176.30,171.75,174.46,1576179
ENGRO,13-Oct-2009,174.51,177.45,174.02,176.62,1963110
